,rule,gp_effect_size,gp_num,gp_trt_effect,gp_p,gp_1_mean,gp_1_num,gp_0_mean,gn_trt_effect,gn_p,gn_1_mean,gn_1_num,gn_0_mean,trt_effect_1,p_1,trt_effect_0,p_0,gp_power,power_1
97,"(20, (2,), 'equal')",0.11827756830254553,31,0.14726262626262532,0.7772717463601482,7.373818181818181,22,7.226555555555556,-0.4185457236170649,0.0367120854924018,7.144876811594203,138,7.563422535211268,0.22894137022397754,0.44396327992527396,-0.33686697965571266,0.5475446841126848,0.006406521878955322,0.00013363294484641886
98,"(20, (0, 1), 'equal')",-0.31465398766390795,209,-0.4185457236170649,0.0367120854924018,7.144876811594203,138,7.563422535211268,0.14726262626262532,0.7772717463601482,7.373818181818181,22,7.226555555555556,-0.22894137022397754,0.44396327992527396,0.33686697965571266,0.5475446841126848,0.9278231526901214,0.39170465009665206
99,"(20, (1, 2), 'equal')",-0.28240166649629733,136,-0.3610712407363126,0.16628459729699052,7.110460674157304,89,7.471531914893617,-0.3434664959453695,0.22561206759015795,7.258957746478873,71,7.6024242424242425,-0.14849707232156906,0.6827627132958101,-0.13089232753062596,0.7881094824241857,0.7309846368245033,0.19283786987053142
100,"(21, 8.333333333333334, 'smaller')",-0.2043063483320928,22,-0.3245833333333339,0.46825664615340634,7.007916666666667,12,7.3325000000000005,-0.3630864864864858,0.06749926261564705,7.190013513513514,148,7.5531,-0.18209684684684735,0.7313381301248034,-0.22059999999999924,0.7934282471197338,0.08741962806970904,0.2667201309515016
101,"(21, 16.666666666666668, 'smaller')",-0.17109390250141387,45,-0.24838000000000005,0.6477916648293116,7.21152,25,7.4599,-0.3775555555555554,0.06959625797640909,7.169844444444444,135,7.5474,0.04167555555555591,0.8197083938323739,-0.08749999999999947,0.920344325445942,0.12112194723987618,0.011735669245041928
102,"(21, 25.0, 'smaller')",-0.437654272568946,64,-0.6519959514170042,0.09812338249698463,6.988657894736843,38,7.640653846153847,-0.2352729204614441,0.26153031444906627,7.234819672131148,122,7.470092592592592,-0.24616177739430523,0.409949706968154,0.17056125356125484,0.47210653333082564,0.6518108933928218,0.44313147394191926
103,"(21, 33.333333333333336, 'smaller')",-0.5145163909345672,81,-0.7403273291925467,0.02697594946642121,6.938586956521739,46,7.678914285714286,-0.13392397660818744,0.4888928698192534,7.272298245614035,114,7.4062222222222225,-0.33371128909229597,0.23426315623197036,0.2726920634920633,0.35433492803494016,0.8958458103853464,0.6986555378145332
104,"(21, 41.66666666666667, 'smaller')",-0.40433473608417947,100,-0.5813522093522092,0.06241010257758094,7.014539682539683,63,7.595891891891892,-0.18352313593862402,0.4058895609032608,7.281453608247423,97,7.464976744186047,-0.2669139257077404,0.2434305097952043,0.13091514770584478,0.6959361001387643,0.8029422971097671,0.5068573552674331
105,"(21, 50.0, 'smaller')",-0.41724960541137823,124,-0.5827207357859541,0.024279969315477018,6.933192307692307,78,7.515913043478261,-0.13087087517934037,0.7364008208460251,7.407658536585366,82,7.538529411764706,-0.4744662288930588,0.02092372500421401,-0.022616368286445088,0.8647578235012181,0.9141746665889046,0.9493292944484709
106,"(21, 58.333333333333336, 'smaller')",-0.34960947818714855,146,-0.49602454991816813,0.04545599143014811,7.036744680851063,94,7.532769230769231,-0.13687445887445815,0.6463418226062445,7.375196969696971,66,7.512071428571429,-0.3384522888459074,0.12941288139260895,0.020697802197802595,0.7127389608080912,0.8455224327034097,0.7133535276469629
107,"(21, 66.66666666666667, 'smaller')",-0.33142596449858697,169,-0.45164129429892164,0.04270445283726822,7.065290909090909,110,7.516932203389831,-0.1289666666666669,0.7195455293739814,7.4207,50,7.549666666666667,-0.3554090909090908,0.14288246119068237,-0.032734463276836046,0.874019335207994,0.8852630825243255,0.7544750608452737
108,"(21, 75.0, 'smaller')",-0.29151961927433356,188,-0.39223487903225784,0.06745405795169185,7.087983870967742,124,7.48021875,-0.22599999999999998,0.5002516505660035,7.4807500000000005,36,7.70675,-0.3927661290322586,0.16227305111879164,-0.22653125000000074,0.6825716280432046,0.8439355276933679,0.8331336393965474
